Store,Date,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Weekly_Sales,Year,Month,WeekOfYear,DayOfWeek,Holiday_Weight,Weighted_Weekly_Sales
1,2010-02-05,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.096,8.106,0,151315,1643690.9,2010,2,5,4,1,1643690.9
1,2010-02-12,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.242,8.106,0,151315,1641957.44,2010,2,6,4,1,1641957.44
1,2010-02-19,False,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.289,8.106,0,151315,1611968.17,2010,2,7,4,1,1611968.17
1,2010-02-26,False,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.32,8.106,0,151315,1409727.59,2010,2,8,4,1,1409727.59
1,2010-03-05,False,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.35,8.106,0,151315,1554806.68,2010,3,9,4,1,1554806.68
1,2010-03-12,False,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.381,8.106,0,151315,1439541.59,2010,3,10,4,1,1439541.59
1,2010-03-19,False,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.216,8.106,0,151315,1472515.79,2010,3,11,4,1,1472515.79
1,2010-03-26,False,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.018,8.106,0,151315,1404429.92,2010,3,12,4,1,1404429.92
1,2010-04-02,False,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.82,7.808,0,151315,1594968.28,2010,4,13,4,1,1594968.28
1,2010-04-09,False,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.623,7.808,0,151315,1545418.53,2010,4,14,4,1,1545418.53
1,2010-04-16,False,66.32,2.808,0.0,0.0,0.0,0.0,0.0,210.489,7.808,0,151315,1466058.28,2010,4,15,4,1,1466058.28
1,2010-04-23,False,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.439,7.808,0,151315,1391256.12,2010,4,16,4,1,1391256.12
1,2010-04-30,False,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.39,7.808,0,151315,1425100.71,2010,4,17,4,1,1425100.71
1,2010-05-07,False,72.55,2.835,0.0,0.0,0.0,0.0,0.0,210.34,7.808,0,151315,1603955.12,2010,5,18,4,1,1603955.12
1,2010-05-14,False,74.78,2.854,0.0,0.0,0.0,0.0,0.0,210.337,7.808,0,151315,1494251.5,2010,5,19,4,1,1494251.5
1,2010-05-21,False,76.44,2.826,0.0,0.0,0.0,0.0,0.0,210.617,7.808,0,151315,1399662.07,2010,5,20,4,1,1399662.07
1,2010-05-28,False,80.44,2.759,0.0,0.0,0.0,0.0,0.0,210.897,7.808,0,151315,1432069.95,2010,5,21,4,1,1432069.95
1,2010-06-04,False,80.69,2.705,0.0,0.0,0.0,0.0,0.0,211.176,7.808,0,151315,1615524.71,2010,6,22,4,1,1615524.71
1,2010-06-11,False,80.43,2.668,0.0,0.0,0.0,0.0,0.0,211.456,7.808,0,151315,1542561.09,2010,6,23,4,1,1542561.09
1,2010-06-18,False,84.11,2.637,0.0,0.0,0.0,0.0,0.0,211.454,7.808,0,151315,1503284.06,2010,6,24,4,1,1503284.06
1,2010-06-25,False,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.339,7.808,0,151315,1422711.6,2010,6,25,4,1,1422711.6
1,2010-07-02,False,80.91,2.669,0.0,0.0,0.0,0.0,0.0,211.224,7.787,0,151315,1492418.14,2010,7,26,4,1,1492418.14
1,2010-07-09,False,80.48,2.642,0.0,0.0,0.0,0.0,0.0,211.108,7.787,0,151315,1546074.18,2010,7,27,4,1,1546074.18
1,2010-07-16,False,83.15,2.623,0.0,0.0,0.0,0.0,0.0,211.1,7.787,0,151315,1448938.92,2010,7,28,4,1,1448938.92
1,2010-07-23,False,83.36,2.608,0.0,0.0,0.0,0.0,0.0,211.235,7.787,0,151315,1385065.2,2010,7,29,4,1,1385065.2
1,2010-07-30,False,81.84,2.64,0.0,0.0,0.0,0.0,0.0,211.37,7.787,0,151315,1371986.6,2010,7,30,4,1,1371986.6
1,2010-08-06,False,87.16,2.627,0.0,0.0,0.0,0.0,0.0,211.505,7.787,0,151315,1605491.78,2010,8,31,4,1,1605491.78
1,2010-08-13,False,87.0,2.692,0.0,0.0,0.0,0.0,0.0,211.639,7.787,0,151315,1508237.76,2010,8,32,4,1,1508237.76
1,2010-08-20,False,86.65,2.664,0.0,0.0,0.0,0.0,0.0,211.603,7.787,0,151315,1513080.49,2010,8,33,4,1,1513080.49
1,2010-08-27,False,85.22,2.619,0.0,0.0,0.0,0.0,0.0,211.567,7.787,0,151315,1449142.92,2010,8,34,4,1,1449142.92
1,2010-09-03,False,81.21,2.577,0.0,0.0,0.0,0.0,0.0,211.531,7.787,0,151315,1540163.53,2010,9,35,4,1,1540163.53
1,2010-09-10,True,78.69,2.565,0.0,0.0,0.0,0.0,0.0,211.495,7.787,0,151315,1507460.69,2010,9,36,4,5,7537303.449999999
1,2010-09-17,False,82.11,2.582,0.0,0.0,0.0,0.0,0.0,211.522,7.787,0,151315,1430378.67,2010,9,37,4,1,1430378.67
1,2010-09-24,False,80.94,2.624,0.0,0.0,0.0,0.0,0.0,211.597,7.787,0,151315,1351791.03,2010,9,38,4,1,1351791.03
1,2010-10-01,False,71.89,2.603,0.0,0.0,0.0,0.0,0.0,211.672,7.838,0,151315,1453329.5,2010,10,39,4,1,1453329.5
1,2010-10-08,False,63.93,2.633,0.0,0.0,0.0,0.0,0.0,211.747,7.838,0,151315,1508239.93,2010,10,40,4,1,1508239.93
